model,baseline,current,n_comparisons,bonferroni,n,a,b,c,d,acc1,acc2,delta,ndis,discordance,p,alert_raw,alert_bonf,alert_bonf_floor,alert_3pp,alert_5pp
gpt-4.1-mini,2026-03-08,2026-07-27,23,0.002173913043478261,299,230,8,11,50,0.7959866220735786,0.8060200668896321,0.010033444816053512,19,0.06354515050167224,0.8203582763671875,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-03-10,22,0.002272727272727273,299,188,25,22,64,0.7123745819397993,0.7023411371237458,-0.010033444816053512,47,0.15719063545150502,0.38543349728651316,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-03-15,22,0.002272727272727273,299,189,24,27,59,0.7123745819397993,0.7224080267558528,0.010033444816053512,51,0.1705685618729097,0.7120753261340766,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-03-22,22,0.002272727272727273,298,188,25,23,62,0.714765100671141,0.7080536912751678,-0.006711409395973154,48,0.1610738255033557,0.4427167486432568,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-03-23,22,0.002272727272727273,299,199,14,28,58,0.7123745819397993,0.7591973244147158,0.046822742474916385,42,0.14046822742474915,0.9902397636087699,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-03-28,22,0.002272727272727273,298,193,20,25,60,0.714765100671141,0.7315436241610739,0.016778523489932886,45,0.15100671140939598,0.8143509827644948,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-04-01,22,0.002272727272727273,299,190,23,26,60,0.7123745819397993,0.7224080267558528,0.010033444816053512,49,0.16387959866220736,0.7159137935754174,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-04-06,22,0.002272727272727273,299,182,31,24,62,0.7123745819397993,0.6889632107023411,-0.023411371237458192,55,0.18394648829431437,0.2093770941345077,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-04-13,22,0.002272727272727273,299,186,27,23,63,0.7123745819397993,0.6989966555183946,-0.013377926421404682,50,0.16722408026755853,0.3359055168826828,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-04-20,22,0.002272727272727273,299,190,23,28,58,0.7123745819397993,0.7290969899665551,0.016722408026755852,51,0.1705685618729097,0.7994690044860313,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-04-27,22,0.002272727272727273,299,193,20,20,66,0.7123745819397993,0.7123745819397993,0.0,40,0.13377926421404682,0.5626853438097896,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-05-11,22,0.002272727272727273,298,189,23,20,66,0.7114093959731543,0.7013422818791947,-0.010067114093959731,43,0.14429530201342283,0.38039582128067195,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-05-18,22,0.002272727272727273,298,184,28,25,61,0.7114093959731543,0.7013422818791947,-0.010067114093959731,53,0.17785234899328858,0.3919231511047494,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-05-25,22,0.002272727272727273,299,196,17,17,69,0.7123745819397993,0.7123745819397993,0.0,34,0.11371237458193979,0.5679168797796592,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-06-01,22,0.002272727272727273,299,193,20,21,65,0.7123745819397993,0.7157190635451505,0.0033444816053511705,41,0.13712374581939799,0.6223856712476845,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-06-08,22,0.002272727272727273,299,196,17,21,65,0.7123745819397993,0.725752508361204,0.013377926421404682,38,0.12709030100334448,0.7911539045817335,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-06-15,22,0.002272727272727273,298,195,18,25,60,0.714765100671141,0.738255033557047,0.02348993288590604,43,0.14429530201342283,0.8889735899219886,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-06-22,22,0.002272727272727273,299,188,25,23,63,0.7123745819397993,0.705685618729097,-0.006688963210702341,48,0.1605351170568562,0.4427167486432568,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-06-29,22,0.002272727272727273,298,194,18,26,60,0.7114093959731543,0.738255033557047,0.026845637583892617,44,0.1476510067114094,0.9129144263646367,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-07-06,22,0.002272727272727273,297,187,24,25,61,0.7104377104377104,0.7138047138047138,0.003367003367003367,49,0.16498316498316498,0.612275172659217,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-07-09,22,0.002272727272727273,298,189,23,23,63,0.7114093959731543,0.7114093959731543,0.0,46,0.15436241610738255,0.5585020439388018,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-07-20,22,0.002272727272727273,298,194,19,26,59,0.714765100671141,0.738255033557047,0.02348993288590604,45,0.15100671140939598,0.8836534040458446,0,0,0,0,0
gpt-4.1-nano,2026-03-08,2026-07-27,22,0.002272727272727273,299,184,29,24,62,0.7123745819397993,0.6956521739130435,-0.016722408026755852,53,0.17725752508361203,0.29156607713058813,0,0,0,0,0
gpt-5,2026-03-08,2026-03-10,22,0.002272727272727273,299,290,0,0,9,0.9698996655518395,0.9698996655518395,0.0,0,0.0,1.0,0,0,0,0,0
gpt-5,2026-03-08,2026-03-15,22,0.002272727272727273,299,289,1,0,9,0.9698996655518395,0.9665551839464883,-0.0033444816053511705,1,0.0033444816053511705,0.5,0,0,0,0,0
