model,baseline,current,n_comparisons,bonferroni,n,a,b,c,d,acc1,acc2,delta,ndis,discordance,p,alert_raw,alert_bonf,alert_bonf_floor,alert_3pp,alert_5pp
claude-sonnet-4-5,2026-03-08,2026-05-11,22,0.002272727272727273,298,260,6,6,26,0.8926174496644296,0.8926174496644296,0.0,12,0.040268456375838924,0.61279296875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-05-18,22,0.002272727272727273,298,260,6,7,25,0.8926174496644296,0.8959731543624161,0.003355704697986577,13,0.0436241610738255,0.70947265625,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-05-25,22,0.002272727272727273,298,260,6,5,27,0.8926174496644296,0.889261744966443,-0.003355704697986577,11,0.03691275167785235,0.5,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-06-01,22,0.002272727272727273,299,263,4,5,27,0.8929765886287625,0.8963210702341137,0.0033444816053511705,9,0.030100334448160536,0.74609375,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-06-08,22,0.002272727272727273,298,263,3,5,27,0.8926174496644296,0.8993288590604027,0.006711409395973154,8,0.026845637583892617,0.85546875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-06-15,22,0.002272727272727273,298,260,6,4,28,0.8926174496644296,0.8859060402684564,-0.006711409395973154,10,0.03355704697986577,0.376953125,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-06-22,22,0.002272727272727273,298,260,6,5,27,0.8926174496644296,0.889261744966443,-0.003355704697986577,11,0.03691275167785235,0.5,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-06-29,22,0.002272727272727273,299,259,8,6,26,0.8929765886287625,0.8862876254180602,-0.006688963210702341,14,0.046822742474916385,0.395263671875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-07-06,22,0.002272727272727273,299,259,8,6,26,0.8929765886287625,0.8862876254180602,-0.006688963210702341,14,0.046822742474916385,0.395263671875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-07-09,22,0.002272727272727273,299,259,8,5,27,0.8929765886287625,0.882943143812709,-0.010033444816053512,13,0.043478260869565216,0.29052734375,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-07-13,22,0.002272727272727273,298,261,5,5,27,0.8926174496644296,0.8926174496644296,0.0,10,0.03355704697986577,0.623046875,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-07-20,22,0.002272727272727273,298,261,6,7,24,0.8959731543624161,0.8993288590604027,0.003355704697986577,13,0.0436241610738255,0.70947265625,0,0,0,0,0
claude-sonnet-4-5,2026-03-08,2026-07-27,22,0.002272727272727273,299,262,5,4,28,0.8929765886287625,0.8896321070234113,-0.0033444816053511705,9,0.030100334448160536,0.5,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-03-10,22,0.002272727272727273,300,287,0,3,10,0.9566666666666667,0.9666666666666667,0.01,3,0.01,1.0,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-03-16,22,0.002272727272727273,298,284,1,1,12,0.9563758389261745,0.9563758389261745,0.0,2,0.006711409395973154,0.75,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-03-22,22,0.002272727272727273,265,253,1,0,11,0.9584905660377359,0.9547169811320755,-0.0037735849056603774,1,0.0037735849056603774,0.5,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-04-01,22,0.002272727272727273,267,254,2,2,9,0.9588014981273408,0.9588014981273408,0.0,4,0.0149812734082397,0.6875,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-04-06,22,0.002272727272727273,297,283,1,3,10,0.9562289562289562,0.9629629629629629,0.006734006734006734,4,0.013468013468013467,0.9375,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-04-13,22,0.002272727272727273,299,284,2,2,11,0.9565217391304348,0.9565217391304348,0.0,4,0.013377926421404682,0.6875,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-04-20,22,0.002272727272727273,299,284,2,2,11,0.9565217391304348,0.9565217391304348,0.0,4,0.013377926421404682,0.6875,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-04-27,22,0.002272727272727273,300,284,3,2,11,0.9566666666666667,0.9533333333333334,-0.0033333333333333335,5,0.016666666666666666,0.5,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-05-04,22,0.002272727272727273,299,284,2,2,11,0.9565217391304348,0.9565217391304348,0.0,4,0.013377926421404682,0.6875,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-05-11,22,0.002272727272727273,299,284,2,3,10,0.9565217391304348,0.959866220735786,0.0033444816053511705,5,0.016722408026755852,0.8125,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-05-18,22,0.002272727272727273,300,285,2,2,11,0.9566666666666667,0.9566666666666667,0.0,4,0.013333333333333334,0.6875,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-05-25,22,0.002272727272727273,299,286,0,3,10,0.9565217391304348,0.9665551839464883,0.010033444816053512,3,0.010033444816053512,1.0,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-06-01,22,0.002272727272727273,299,286,0,2,11,0.9565217391304348,0.9632107023411371,0.006688963210702341,2,0.006688963210702341,1.0,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-06-08,22,0.002272727272727273,300,286,1,2,11,0.9566666666666667,0.96,0.0033333333333333335,3,0.01,0.875,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-06-15,22,0.002272727272727273,298,282,3,1,12,0.9563758389261745,0.9496644295302014,-0.006711409395973154,4,0.013422818791946308,0.3125,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-06-22,22,0.002272727272727273,299,284,2,3,10,0.9565217391304348,0.959866220735786,0.0033444816053511705,5,0.016722408026755852,0.8125,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-06-29,22,0.002272727272727273,299,285,1,2,11,0.9565217391304348,0.959866220735786,0.0033444816053511705,3,0.010033444816053512,0.875,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-07-06,22,0.002272727272727273,299,286,0,3,10,0.9565217391304348,0.9665551839464883,0.010033444816053512,3,0.010033444816053512,1.0,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-07-09,22,0.002272727272727273,299,285,1,3,10,0.9565217391304348,0.9632107023411371,0.006688963210702341,4,0.013377926421404682,0.9375,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-07-13,22,0.002272727272727273,299,286,0,2,11,0.9565217391304348,0.9632107023411371,0.006688963210702341,2,0.006688963210702341,1.0,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-07-20,22,0.002272727272727273,300,286,1,3,10,0.9566666666666667,0.9633333333333334,0.006666666666666667,4,0.013333333333333334,0.9375,0,0,0,0,0
claude-sonnet-4-6,2026-03-08,2026-07-27,22,0.002272727272727273,300,286,1,2,11,0.9566666666666667,0.96,0.0033333333333333335,3,0.01,0.875,0,0,0,0,0
claude-sonnet-5,2026-07-09,2026-07-13,3,0.016666666666666666,299,269,11,4,15,0.9364548494983278,0.9130434782608695,-0.023411371237458192,15,0.05016722408026756,0.05923461914062499,0,0,0,0,0
claude-sonnet-5,2026-07-09,2026-07-20,3,0.016666666666666666,298,267,12,4,15,0.9362416107382551,0.9093959731543624,-0.026845637583892617,16,0.053691275167785234,0.0384063720703125,1,0,0,0,0
claude-sonnet-5,2026-07-09,2026-07-27,3,0.016666666666666666,298,275,4,4,15,0.9362416107382551,0.9362416107382551,0.0,8,0.026845637583892617,0.63671875,0,0,0,0,0
